"('not yet another barbecue sauce', 'Malty')"
"('ful medames', 'Hoppy')"
"('world s best cookies aka that 70s elusive cornflake cookies', 'Rich/Hearty')"
"('noodles divine', 'Fruity/Spicy')"
"('healthy banana oatmeal bread', 'Specialty')"
"('milk bread  bread machine', 'Malty')"
"('summertime grilled onions', 'Crisp')"
"('spanish beef rice', 'Smoky')"
"('soupe joumou  haitian pumpkin soup  soupe au giramoun', 'Hoppy')"
"('detox vegetable drink', 'Crisp')"
"('glazed rio star grapefruit poppy seed cake', 'Hoppy')"
"('grilled salmon with citrus vinaigrette', 'Fruity/Spicy')"
"('the best spinach pie  and so easy', 'Fruity/Spicy')"
"('lex s roast chicken', 'Hoppy')"
"('apple milkshake  indian', 'Malty')"
"('yucatan lemon soup', 'Hoppy')"
"('u won t believe it chicken   broccoli pie', 'Malty')"
"('mushroom ravioli', 'Hoppy')"
"('sweet sour turkey salad', 'Fruity/Spicy')"
"('spicy crunchy chickpea snack', 'Hoppy')"
"('smokey salmon spread', 'Fruity/Spicy')"
"('mandelscotti', 'Rich/Hearty')"
"('simple short ribs   crock pot', 'Hoppy')"
"('oven roasted country style ribs', 'Malty')"
"('sandy s awesome chocolate cake', 'Specialty')"
"('pumpkin banana mousse tart', 'Specialty')"
"('dave s peanut butter hot chocolate', 'Roasty')"
"('incredible ice cream sandwich sundae dessert', 'Specialty')"
"('ham  n egg crepes', 'Specialty')"
"('cheese and mustard steak sauce', 'Malty')"
"('passover vegetable cups', 'Hoppy')"
"('custard berry parfaits', 'Fruity/Spicy')"
"('red cactus margarita   alcohol optional', 'Hoppy')"
"('cherries jubilee  fantabulous', 'Specialty')"
"('crispy pesto parmesan potatoes', 'Fruity/Spicy')"
"('easy honey ranch burgers', 'Malty')"
"('quick moroccan salad', 'Fruity/Spicy')"
"('savory artichoke and spinach bread pudding', 'Specialty')"
"('burger spread', 'Hoppy')"
"('drunk chicken   beer can chicken', 'Fruity/Spicy')"
"('cream soup substitutes', 'Malty')"
"('light lemonade pie', 'Specialty')"
"('gourmet mac   cheese w  lots of variations', 'Fruity/Spicy')"
"('kahlua paradise chicken', 'Fruity/Spicy')"
"('sauted green beans with mushrooms and onion', 'Hoppy')"
"('bulghur pilav', 'Rich/Hearty')"
"('n awlins praline kugel', 'Specialty')"
"('festive creamy cheesecake with tangy cranberry topping', 'Fruity/Spicy')"
"('pasta with sand', 'Fruity/Spicy')"
"('white chocolate cranberry bars', 'Specialty')"
"('simple savory salmon patties', 'Hoppy')"
"('shrimpie s', 'Fruity/Spicy')"
"('kangaroo and beer pie with damper pastry', 'Hoppy')"
"('full meal zucchini casserole', 'Specialty')"
"('wine brined grilled chicken', 'Malty')"
"('sarah s choco peanut cheesecake', 'Specialty')"
"('galaxy cookies', 'Specialty')"
"('simple baked eggs   ramekin baked eggs', 'Hoppy')"
"('chicken parmesan  low carb  keto', 'Fruity/Spicy')"
"('paris mash', 'Hoppy')"
"('best ever cheesy potatoes', 'Specialty')"
"('dreamsicle drink mix in a pint jar', 'Roasty')"
"('candied kielbasa', 'Malty')"
"('wicklewood s cinnamon and apple quinoa', 'Malty')"
"('potato pampushki', 'Fruity/Spicy')"
"('adobo rice with beans and tomato', 'Specialty')"
"('fashioned sweet potato pie', 'Malty')"
"('healthy roasted cheerio s', 'Sour')"
"('sweet   spicy chai tea', 'Malty')"
"('black bean veggie burger mix', 'Hoppy')"
"('old fashioned nut bread', 'Malty')"
"('evil peanut butter cookies', 'Specialty')"
"('crock pot potluck pierogies with sauteed onions and butter', 'Hoppy')"
"('easy chicken salsa wraps  stove top or crock pot', 'Fruity/Spicy')"
"('paul and linda mccartney s split pea soup', 'Fruity/Spicy')"
"('tex mex chicken wings  or drumsticks', 'Crisp')"
"('tagine tajine   chicken with carrots', 'Fruity/Spicy')"
"('soaked grain muffins or quick bread', 'Malty')"
"('five can chili', 'Malty')"
"('cornflake cakes', 'Specialty')"
"('no cooking sweet potato salad', 'Malty')"
"('easy and healthy egg rolls', 'Fruity/Spicy')"
"('claim jumper s chocolate motherlode cake', 'Specialty')"
"('duonyte s no knead sourdough bread', 'Malty')"
"('salade ligeoise', 'Smoky')"
"('cream sandwich cookies', 'Specialty')"
"('chicken casserole with broccoli', 'Malty')"
"('buckthorn bbq sauce', 'Roasty')"
"('beef   macaroni dinner', 'Hoppy')"
"('buffalo bread', 'Malty')"
"('szechuan chicken with peanuts 6 ww pts', 'Malty')"
"('chicken  shrimp and okra gumbo', 'Hoppy')"
"('spelt pasta recipe   make your own pasta', 'Fruity/Spicy')"
"('garlic rosemary mashed potatoes', 'Hoppy')"
"('spaghetti bake with meat sauce   3 cheeses', 'Hoppy')"
"('chicken with creamy green onion sauce', 'Malty')"
"('breakfast casserole with a twist', 'Hoppy')"
"('uncle johns sweet   hot  dipping sauce for meat', 'Hoppy')"
"('the ultimate chip dip', 'Specialty')"
"('beer butter and onions', 'Roasty')"
"('lemon herb beef pot roast', 'Hoppy')"
"('broccoli   cornbread casserole', 'Fruity/Spicy')"
"('sonoma dried tomato pizza', 'Fruity/Spicy')"
"('slow cooker chicken sour cream enchilada casserole', 'Fruity/Spicy')"
"('cajun  tomato  gravy', 'Malty')"
"('hillbilly bean soup', 'Hoppy')"
"('molten french camembert potato gratin with bacon and onions', 'Specialty')"
"('golden potato wedges', 'Hoppy')"
"('new orleans hot tamales', 'Hoppy')"
"('macadamia and ginger shortbread', 'Fruity/Spicy')"
"('rich  hot fudge cake', 'Specialty')"
"('iced banana latte', 'Malty')"
"('bacon potato skins', 'Hoppy')"
"('chocolate caramel coconut tarts', 'Malty')"
"('zucchini salsa  canned', 'Smoky')"
"('easy creamy yogurt pie', 'Specialty')"
"('pomegranate teriyaki sauce', 'Crisp')"
"('mexican scramble', 'Hoppy')"
"('laquered tofu triangles with green beans and cashews', 'Roasty')"
"('galuska for stew  dumplings', 'Malty')"
"('beef stew for 100', 'Hoppy')"
"('mixed vegetable kootu', 'Hoppy')"
"('kimmiecat s french dip', 'Roasty')"
"('zuni caf zucchini pickles', 'Sour')"
"('steph s pork riblets', 'Malty')"
"('luscious lemon and lime water', 'Hoppy')"
"('orange hot chocolate mix in a bag', 'Roasty')"
"('banana devils food cake', 'Roasty')"
"('cranberry zucchini wedges', 'Specialty')"
"('italian flavored tempeh nuggets', 'Fruity/Spicy')"
"('pasta shells with tuscan tuna', 'Fruity/Spicy')"
"('lactose free flourless chocolate cake', 'Roasty')"
"('caramel frosted pumpkin cookies with butterscotch chips', 'Specialty')"
"('hollywood filet mignon', 'Hoppy')"
"('3 ingredient moroccan dry rub', 'Malty')"
"('matchstick potatoes   barefoot contessa   ina garten', 'Hoppy')"
"('world s greatest mushroom onion burgers', 'Specialty')"
"('rigatoni with eggplant and dried tomato pesto', 'Fruity/Spicy')"
"('spinach with lentils', 'Hoppy')"
"('spicy rice meatballs', 'Hoppy')"
"('mexican macaroni and cheese', 'Specialty')"
"('smoked chicken  pecan and craisin salad', 'Malty')"
"('olive and garlic sourdough  uses your bread machine', 'Hoppy')"
"('beef   mushroom dijon', 'Hoppy')"
"('easy one pot k d taco supper', 'Hoppy')"
"('ruby tuesday s garlic and rosemary stuffed mushrooms', 'Rich/Hearty')"
"('korokke', 'Hoppy')"
"('creole boiled shrimp cocktail', 'Hoppy')"
"('cranberry orange cheese ball', 'Specialty')"
"('jamie oliver s butternut squash muffins', 'Specialty')"
"('gingerbread blondies', 'Roasty')"
"('buttermilk cornmeal muffins', 'Malty')"
"('orange rosemary fig jam', 'Fruity/Spicy')"
"('rabbit fudge', 'Specialty')"
"('vegan bean spread', 'Hoppy')"
"('jerk chicken family style', 'Malty')"
"('lo sung beef soup', 'Malty')"
"('baked chicken breast', 'Fruity/Spicy')"
"('kathy s deviled eggs', 'Smoky')"
"('oriental bbq spareribs', 'Fruity/Spicy')"
"('garlic roasted pumpkin', 'Specialty')"
"('greek feta and olive spread', 'Fruity/Spicy')"
"('tabbouleh scramble', 'Fruity/Spicy')"
"('graham and fruit bars', 'Malty')"
"('herbed turkey   zucchini skillet dish', 'Fruity/Spicy')"
"('pumpkin custard streusel muffins', 'Specialty')"
"('chicken stir fry with cashews', 'Crisp')"
"('once a week turkey chili   5 points', 'Hoppy')"
"('golden coconut drops', 'Fruity/Spicy')"
"('mary s date pudding', 'Specialty')"
"('sin on a fork', 'Specialty')"
"('cajun macaroni salad', 'Hoppy')"
"('patio pizza', 'Fruity/Spicy')"
"('sheila s irish cream liqueur', 'Specialty')"
"('bulgur salad', 'Hoppy')"
"('perfect pomodoro sauce', 'Hoppy')"
"('cabbage   sausage soup', 'Malty')"
"('bell pepper relish', 'Smoky')"
"('frozen kahlua cake', 'Specialty')"
"('south florida avocado summer wrap', 'Hoppy')"
"('hawaii stuffed chicken breasts', 'Fruity/Spicy')"
"('lentil barley shepherd s pie', 'Hoppy')"
"('baked italian sausage and rigatoni', 'Hoppy')"
"('microwave baked peaches', 'Malty')"
"('low fat apple ginger spice whole wheat waffles', 'Specialty')"
"('popeye s popcorn shrimp and chicken', 'Crisp')"
"('slow cooked bacon cheese potatoes', 'Hoppy')"
"('harvest apple streusel squares', 'Specialty')"
"('honey mustard pork', 'Malty')"
"('to die for chocolate mud cake', 'Roasty')"
"('spinach mushroom quiche', 'Malty')"
"('schnitzel with anchovy sauce', 'Hoppy')"
"('caribbean crab cakes', 'Hoppy')"
"('coffee cake  vegan', 'Specialty')"
"('weed fritters', 'Malty')"
"('shrimp and tortellini', 'Fruity/Spicy')"
"('i coulda had a stuffed pepper  stuffed peppers', 'Smoky')"
"('brown sugar and orange glaze for ham', 'Fruity/Spicy')"
"('homemade baked yellow eyed beans', 'Malty')"
"('balsamic lasagna', 'Fruity/Spicy')"
"('bbq pork chops and roasted potatoes', 'Malty')"
"('dump granola', 'Malty')"
"('mexi eggs in a hole', 'Hoppy')"
"('salmon with sweet potatoes', 'Hoppy')"
"('salmon tartare', 'Smoky')"
"('sushi for sissies', 'Crisp')"
"('spanish pork', 'Hoppy')"
"('lightly curried pumpkin soup', 'Specialty')"
"('swiss nut cheese ball', 'Specialty')"
"('hearty potato and leek soup', 'Malty')"
"('meat and potatoes quiche  a k a  the man s quiche', 'Hoppy')"
"('rich turkey stock', 'Malty')"
"('chili cheese enchiladas', 'Hoppy')"
"('congo squares', 'Specialty')"
"('mama s granola', 'Malty')"
"('lite salmon   pasta casserole', 'Fruity/Spicy')"
"('sweet cucumber and red onion salad', 'Hoppy')"
"('duck  l orange', 'Fruity/Spicy')"
"('chicken spaghetti  no velveeta or cream soups', 'Fruity/Spicy')"
"('amazing strawberry  or blueberry  shortcake', 'Specialty')"
"('wine braised beef', 'Hoppy')"
"('shallot soup', 'Rich/Hearty')"
"('orange shrimp', 'Hoppy')"
"('tomato mustard crusted beef', 'Malty')"
"('grand marnier brownie kisses', 'Specialty')"
"('peach bread pudding', 'Specialty')"
"('soup reme pizza', 'Fruity/Spicy')"
"('fresh apple cake with nut topping', 'Specialty')"
"('alain s cabbage rolls', 'Hoppy')"
"('melody s amazing brown sugar frosting', 'Roasty')"
"('rotisserie chicken pasta', 'Crisp')"
"('marinated veggies with rice', 'Hoppy')"
"('super simple sausage breakfast casserole', 'Malty')"
"('honey barbecue meatloaf', 'Hoppy')"
"('cajun habanero sausage', 'Hoppy')"
"('huevos con burrito', 'Specialty')"
"('vegan chai mix', 'Malty')"
"('creamy italian dressing  cook s country', 'Hoppy')"
"('healthy mini vegetable quiches', 'Hoppy')"
"('old fashioned baked sour cherry pudding', 'Specialty')"
"('fresh chicken kiev', 'Fruity/Spicy')"
"('green pepper steak', 'Hoppy')"
"('spinach watermelon salad', 'Fruity/Spicy')"
"('maggie s coconut rice', 'Fruity/Spicy')"
"('fun to eat pull aparts', 'Hoppy')"
"('raspberry and peach compote', 'Fruity/Spicy')"
"('bill blass s meatloaf', 'Hoppy')"
"('german bierocks', 'Hoppy')"
"('mean green tortilla soup', 'Hoppy')"
"('watercress in miso dressing', 'Malty')"
"('hard rock cafe famous baby back watermelon ribs by todd wilbur', 'Roasty')"
"('grilled venison packets', 'Malty')"
"('hasselback candied yams', 'Malty')"
"('amaretto', 'Malty')"
"('chickpea   olive salad', 'Hoppy')"
"('quick apple turnovers', 'Specialty')"
"('slightly spicy  black bean burgers', 'Hoppy')"
"('basic soft white sandwich loaf bread', 'Malty')"
"('fresh apple spice bread', 'Specialty')"
"('teresa s stuffed pepper soup', 'Hoppy')"
"('crock pot mesquite roast', 'Roasty')"
"('goulash canning', 'Rich/Hearty')"
"('simple popovers', 'Malty')"
"('gluten free double chocolate brownie bites', 'Specialty')"
"('spiced turkey empanada', 'Hoppy')"
"('cranberry cottage cheese salad', 'Specialty')"
"('roasted grapes for cheese platter', 'Sour')"
"('shrimp salad sandwich', 'Crisp')"
"('alice s restaurant pork burritos', 'Hoppy')"
"('creamy chicken and rice', 'Fruity/Spicy')"
"('smokey mountain wilted lettuce', 'Crisp')"
"('date loaves  21 day wonder diet  day 7', 'Crisp')"
"('marvelous  mocha muffins', 'Roasty')"
"('caribbean style catfish', 'Hoppy')"
"('southwest scramble', 'Hoppy')"
"('lentil mushroom walnut loaf', 'Hoppy')"
"('ground chicken chili', 'Hoppy')"
"('coconut ice', 'Malty')"
"('waldorf salad with steel cut oats', 'Hoppy')"
"('lentil   chicken tagine', 'Fruity/Spicy')"
"('warm potato salad  low fat', 'Hoppy')"
"('mexican rice bowl with chicken', 'Hoppy')"
"('pineapple glazed  pork loin', 'Fruity/Spicy')"
"('meatloaf    bacon mushroom swiss meatloaf', 'Hoppy')"
"('full of veggies italian chili with penne pasta', 'Hoppy')"
"('vegetable deviled eggs', 'Hoppy')"
"('moist  cinnamon apple quick bread', 'Specialty')"
"('vegetable beef soup  low carb low fat', 'Rich/Hearty')"
"('the alfafara avocado smoothie', 'Malty')"
"('creole sauteed cabbage', 'Malty')"
"('warm rum raisin cider', 'Malty')"
"('wild mushroom risotto', 'Fruity/Spicy')"
"('easy cornish game hens', 'Hoppy')"
"('3 ingredient individual quinoa pizza crust  no soaking', 'Malty')"
"('vampire pork country style ribs', 'Hoppy')"
"('parmesan fettuccine alfredo  with chicken or shrimp', 'Specialty')"
"('easy beef in sour cream sauce', 'Smoky')"
"('mrs evan s apple cake', 'Fruity/Spicy')"
"('cabbage kielbasa supper', 'Malty')"
"('guilt free baked apples for 2', 'Malty')"
"('secret ingredient chocolate chip cookies', 'Fruity/Spicy')"
"('birthday cake cookies', 'Roasty')"
"('easy bake oven butter cookies', 'Specialty')"
"('low carb fudge', 'Specialty')"
"('lasagne with five cheese', 'Fruity/Spicy')"
"('hot chocolate to die for', 'Specialty')"
"('baked chicken with spaghetti squash', 'Fruity/Spicy')"
"('hand me down lasagna', 'Hoppy')"
"('blackened tuna steaks', 'Hoppy')"
"('dee s philly cheese steak  burger', 'Hoppy')"
"('moroccan chicken bundles', 'Fruity/Spicy')"
"('jeff s spaghetti with zucchini', 'Malty')"
"('gingery lavender shortbread', 'Fruity/Spicy')"
"('ciabatta veggie sandwich', 'Crisp')"
"('jalapeo garlic tilapia panini', 'Specialty')"
"('splenda brown sugar substitute', 'Roasty')"
"('maple pumpkin cookies', 'Specialty')"
"('road house green beans', 'Hoppy')"
"('easy brownies', 'Specialty')"
"('beef stroganoff  from the  old  russian tea room', 'Hoppy')"
"('banana split pie light', 'Specialty')"
"('peppermint bark cookies', 'Specialty')"
"('terrific tofu tacos', 'Malty')"
"('brussels sprouts and chicken stir fry', 'Malty')"
"('decadent chocolate jelly roll', 'Specialty')"
"('turtle doves martini', 'Specialty')"
"('holiday fruitcake bars', 'Specialty')"
"('grandmother s tuna casserole', 'Specialty')"
"('black bean and mango dip', 'Hoppy')"
"('raisin brown bread', 'Roasty')"
"('wilted spinach with raisins and apples', 'Sour')"
"('kittencal s buttermilk poultry brine  for chicken or turkey', 'Crisp')"
"('moist golden cake', 'Specialty')"
"('chocolate christmas cookies  no bake', 'Specialty')"
"('better than big boys cream of broccoli soup', 'Specialty')"
"('tomato onion soup', 'Specialty')"
"('eggplant parmesan ww 5 points', 'Hoppy')"
"('the best king ranch casserole', 'Malty')"
"('donita s caramel brownies', 'Roasty')"
"('the greasemeister', 'Hoppy')"
"('indian vegetable rice pulao', 'Hoppy')"
"('southern florida chicken salad sammies sandwiches', 'Crisp')"
"('red hot applesauce salad', 'Fruity/Spicy')"
"('spicy mocha', 'Specialty')"
"('crock pot green chile pork', 'Malty')"
"('c p a burgers', 'Hoppy')"
"('polenta ricotta cake', 'Fruity/Spicy')"
"('kittencal s milk boiled corn on the cob', 'Specialty')"
"('healthy banana wrap', 'Malty')"
"('mom s dinner party chicken', 'Malty')"
"('gourmet white chicken chili', 'Hoppy')"
"('heavenly toffee chip fudge', 'Specialty')"
"('fat free lemon pie', 'Hoppy')"
"('vasilopeta  greek new year s bread', 'Hoppy')"
"('ground chicken mexican soft taco bake  low fat', 'Fruity/Spicy')"
"('thai green chicken curry with spaghetti', 'Crisp')"
"('habanero mango hot sauce', 'Hoppy')"
"('sauteed peaches with vanilla ice cream', 'Specialty')"
"('nif s eggstremely easy egg salad', 'Hoppy')"
"('finnish beef ragout  palapaisti   finland', 'Malty')"
"('very good rolls', 'Specialty')"
"('irish beef stew with guinness stout', 'Hoppy')"
"('salted roast turkey with herbs', 'Fruity/Spicy')"
"('hamburger cream gravy', 'Hoppy')"
"('smoked sausage and cornbread pie', 'Hoppy')"
"('chocolate chip pumpkin pancakes', 'Specialty')"
"('penne with asparagus lemon sauce', 'Fruity/Spicy')"
"('beef veggie bean soup', 'Hoppy')"
"('whipped white beans', 'Malty')"
"('sugar free fat free  cinnamon hot chocolate mix', 'Specialty')"
"('grilled flank steak  onion and bell pepper sandwiches', 'Smoky')"
"('babe s spicy mayo shrimp', 'Hoppy')"
"('shrimp remoulade sauce', 'Hoppy')"
"('roasted mediterranean vegetables', 'Smoky')"
"('stuffed patty pan squash', 'Specialty')"
"('stuffed mushroom caps', 'Crisp')"
"('ricotta and chocolate cake', 'Specialty')"
"('hawaiian sausage   cheese', 'Hoppy')"
"('italian sausage turkey burgers and fennel slaw', 'Hoppy')"
"('avocado with prosciutto', 'Hoppy')"
"('layered hazelnut cheesecake', 'Specialty')"
"('chiles relleno puffs', 'Fruity/Spicy')"
"('apple barbecued ribs', 'Hoppy')"
"('julia s chocolate truffle tartlets', 'Specialty')"
"('fiesta mac', 'Hoppy')"
"('orange bon bon', 'Malty')"
"('bavarian meatballs and cabbage', 'Specialty')"
"('spicy friendship tea mix', 'Fruity/Spicy')"
"('spinach salad with cheese  raisins and walnuts azerbaijan', 'Fruity/Spicy')"
"('moist  dense  heavy cream pound cake', 'Specialty')"
"('one pot weeknight beanie weenies', 'Fruity/Spicy')"
"('amaretto cocoa mix in a jar', 'Roasty')"
"('chickpea and spinach stew', 'Malty')"
"('cuban style black beans', 'Hoppy')"
"('lavosh crisps with sesame seeds', 'Malty')"
"('simple homemade peaunut butter cookies', 'Specialty')"
"('low fat calorie tuna salad', 'Crisp')"
"('bakery style whoopie pie cake', 'Specialty')"
"('chuck s all up in ya hot sauce', 'Smoky')"
"('marinated halibut with cilantro lime butter sauce', 'Hoppy')"
"('mexican lentil stew', 'Hoppy')"
"('rice soy dish', 'Hoppy')"
"('ultimate butter pecan ice cream', 'Specialty')"
"('not world famous spaghetti sauce', 'Hoppy')"
"('the real neiman marcus chocolate chip cookie recipe', 'Roasty')"
"('homemade venison italian sausage', 'Hoppy')"
"('zucchini pumpkin cake', 'Specialty')"
"('vienna bread  bread machine', 'Malty')"
"('hot dark chocolate', 'Roasty')"
"('a friend of a friend of a friend s chocolate bourbon banana brea', 'Specialty')"
"('lunch ladies creamy italian spinach', 'Specialty')"
"('baked fish with orange', 'Fruity/Spicy')"
"('noni s sour cream chocolate cake with brown sugar icing', 'Specialty')"
"('santa s sleigh cocktail', 'Specialty')"
"('lobster bisque  south beach diet phase 2', 'Hoppy')"
"('lasagna with goat cheese from ina garten', 'Fruity/Spicy')"
"('tangy broccoli   low carb', 'Malty')"
"('cauliflower your kids will eat', 'Hoppy')"
"('crustless broccoli quiche', 'Specialty')"
"('i m hungry avocado cheese sub sandwich', 'Hoppy')"
"('caramel morsel bars', 'Roasty')"
"('scotch salmon', 'Hoppy')"
"('green olive pesto', 'Crisp')"
"('head cheese brawn', 'Malty')"
"('philly cheesesteak stromboli', 'Hoppy')"
"('my favorite blueberry bars', 'Specialty')"
"('drechter kucha   funnel cakes', 'Malty')"
"('coconut curry chicken', 'Crisp')"
"('christmas caramels', 'Malty')"
"('light er  cajun chicken alfredo', 'Fruity/Spicy')"
"('easy coleslaw', 'Hoppy')"
"('the best cucumber spread', 'Hoppy')"
"('scarlet bellini', 'Fruity/Spicy')"
"('creamy coleslaw dressing', 'Hoppy')"
"('all fruit breakfast smoothie', 'Fruity/Spicy')"
"('fresh broccoli salad', 'Smoky')"
"('day 1 beef chuck roast', 'Hoppy')"
"('best ever bbq pork bacon burgers', 'Malty')"
"('slow cooker herb crusted pork tenderloin', 'Hoppy')"
"('balsamic tomato couscous', 'Fruity/Spicy')"
"('stewed potatoes  tomatoes  n feta cheese', 'Fruity/Spicy')"
"('low fat japanese miso dressing', 'Malty')"
"('holiday buns', 'Specialty')"
"('veal francese', 'Hoppy')"
"('linda s tagborinni', 'Hoppy')"
"('crock pot honey garlic chicken', 'Malty')"
"('joes crabshack great balls of fire copy cat', 'Specialty')"
"('libby s black bean salsa', 'Hoppy')"
"('pareve green bean casserole', 'Hoppy')"
"('greek roast leg of lamb with potatoes', 'Hoppy')"
"('best ever eggless banana oatmeal muffins', 'Specialty')"
"('slow cooked lamb shanks in red wine', 'Hoppy')"
"('paula deen s hot bacon cole slaw', 'Hoppy')"
"('rigatoni with vegetables and two cheeses', 'Fruity/Spicy')"
"('little grilled mushroom bites', 'Crisp')"
"('kish s german fried potatoes', 'Smoky')"
"('amish bread', 'Rich/Hearty')"
"('pan  fried apples', 'Malty')"
"('aunt meda s cranberry salad', 'Sour')"
"('italian sausage and sauerkraut', 'Malty')"
"('crab cakes in rice paper with ginger lime sauce', 'Hoppy')"
"('crock pot  spanish stuffed green bell peppers', 'Hoppy')"
"('polish angel wings chrusciki', 'Specialty')"
"('pork and port casserole with cranberries  chestnuts and shallots', 'Malty')"
"('finally          moist carrot cake', 'Specialty')"
"('acorn squash and granny smith apple soup', 'Rich/Hearty')"
"('orange lettuce salad', 'Hoppy')"
"('scampi ala doloresa', 'Hoppy')"
"('bell pepper cream cheese pasta', 'Smoky')"
"('brown sugar icing', 'Malty')"
"('jolean s chicken broccoli casserole', 'Fruity/Spicy')"
"('lime   garlic grilled salmon', 'Crisp')"
"('sesame asparagus  different and delish', 'Crisp')"
"('chicken bhuna masala   a chicken curry', 'Hoppy')"
"('basic baked tofu', 'Rich/Hearty')"
"('stuffed cabbage rolls with sweet and sour sauce', 'Hoppy')"
"('vanilla mascarpone cream', 'Specialty')"
"('cauliflower stuffed meatball ragout in spicy tomato sauce', 'Hoppy')"
"('cajun pan prawns', 'Crisp')"
"('s mores cheesecake', 'Specialty')"
"('french onion rib eye steaks', 'Hoppy')"
"('fresh cabbage soup', 'Fruity/Spicy')"
"('oriental salad sumi salad', 'Hoppy')"
"('raspberry chipotle glazed chicken breasts', 'Fruity/Spicy')"
"('lemon cake custard', 'Hoppy')"
"('marmie s  creamy greek salad and dressing', 'Hoppy')"
"('rocky mountain mini cheesecakes  light', 'Specialty')"
"('very simple crock pot lasagna', 'Fruity/Spicy')"
"('chicken chowder with bacon', 'Malty')"
"('caribbean crabmeat salad', 'Hoppy')"
"('trisha yearwood s blackberry cobbler', 'Specialty')"
"('licorice caramels', 'Malty')"
"('fabulous hotcakes', 'Specialty')"
"('east asian style bbq chicken  or broil', 'Malty')"
"('steak chicana', 'Hoppy')"
"('beans   sausage   crock pot', 'Hoppy')"
"('pat s easy seafood stock', 'Crisp')"
"('spaghetti with best ever bolognese sauce', 'Hoppy')"
"('ooey gooey turtle bars', 'Specialty')"
"('oven baked chocolate chip pancakes', 'Roasty')"
"('old fashioned german butter roll', 'Malty')"
"('chickpea eggplant dip', 'Malty')"
"('french pudding', 'Specialty')"
"('delicious baked salmon with creole mustard sauce', 'Fruity/Spicy')"
"('orange butter carrots', 'Fruity/Spicy')"
"('honey baked chicken wings', 'Malty')"
"('puerto rumba steamer', 'Malty')"
"('almond flour cake  muffins', 'Hoppy')"
"('potatoes mashed with caramelized onions', 'Hoppy')"
"('blue ribbon carrot cake', 'Specialty')"
"('caramelised red onion chutney recipe', 'Hoppy')"
"('ham and noodle casserole', 'Hoppy')"
"('scallion and ginger chicken  stir fry', 'Fruity/Spicy')"
"('twisted sausage bolognese sauce', 'Hoppy')"
"('hot   spicy pomegranate chicken wings', 'Hoppy')"
"('weight watchers macaroni salad', 'Hoppy')"
"('gourmet carrot cake', 'Specialty')"
"('1931 coconut patties', 'Specialty')"
"('homey meat loaf', 'Hoppy')"
"('moroccan chicken and olives', 'Fruity/Spicy')"
"('tacos de pollo', 'Crisp')"
"('sausage schnitzel with quick sauerkraut', 'Malty')"
"('hawaiian tacos', 'Crisp')"
"('golden coconut macaroons', 'Specialty')"
"('easy penne pasta bake', 'Fruity/Spicy')"
"('italian nut biscotti', 'Roasty')"
"('cheddar potatoes   onions', 'Fruity/Spicy')"
"('chai salah', 'Roasty')"
"('carrot layer cake with cream cheese frosting', 'Fruity/Spicy')"
"('cantaloupe fruit salad', 'Malty')"
"('ginger chicken  grenada', 'Fruity/Spicy')"
"('broccoli frittata', 'Specialty')"
"('lime cilantro rice', 'Crisp')"
"('sweet n sour crock pot pork', 'Hoppy')"
"('barefoot contessa s banana sour cream pancakes', 'Hoppy')"
"('loaded baked potato soup  gluten free', 'Malty')"
"('tomato towers with blue cheese   bacon', 'Hoppy')"
"('chocolate water glaze', 'Specialty')"
"('cold quick and easy pasta sauce', 'Hoppy')"
"('frico', 'Hoppy')"
"('oven fried catfish', 'Hoppy')"
"('versatile salad dressing', 'Fruity/Spicy')"
"('way too easy ribs', 'Roasty')"
"('apricot jello mold', 'Malty')"
"('greek pie', 'Crisp')"
"('grilled chicken pasta salad', 'Hoppy')"
"('pavlovas with lemon curd and tropical fruit', 'Specialty')"
"('nordstrom s tomato soup', 'Fruity/Spicy')"
"('baked herb crusted chicken breasts', 'Hoppy')"
"('acapulco rice', 'Hoppy')"
"('open faced jarlsberg sandwiches with greens', 'Specialty')"
"('tomato watermelon salad', 'Hoppy')"
"('cheesy chicken simmer', 'Fruity/Spicy')"
"('kittencal s easy refrigerator kosher garlic dill pickles', 'Crisp')"
"('lasagne supremo', 'Hoppy')"
"('low fat broccoli and mushroom quiche', 'Hoppy')"
"('pan seared lamb chops with mint over greens', 'Hoppy')"
"('kittencal s extreme chocolate brownies', 'Specialty')"
"('easy bake oven cake using commercial cake mixes', 'Malty')"
"('pudina  mint  roti', 'Crisp')"
"('barefoot contessa cheddar dill scones   ina garten', 'Malty')"
"('strawberries  n creme cinnamon chips', 'Malty')"
"('chocolate milkshakes with no ice cream', 'Specialty')"
"('buttermilk pancakes with pecans', 'Roasty')"
"('swedish brownies', 'Smoky')"
"('thai stir fried chile beef', 'Smoky')"
"('italian sausage potato soup', 'Malty')"
"('escabeche de mexicana', 'Rich/Hearty')"
"('muffuletta', 'Sour')"
"('purple cauliflower soup with walnut oil', 'Hoppy')"
"('braised belgian endive', 'Hoppy')"
"('ginger chicken and peanut sauce wrap', 'Crisp')"
"('sausage   grits casserole', 'Malty')"
"('chocolate banana trifle', 'Specialty')"
"('rice and chickpea casserole', 'Hoppy')"
"('etruscan peasant soup', 'Malty')"
"('roasted vegetables with kale', 'Hoppy')"
"('premium macadamia macaroons', 'Specialty')"
